WELL	TOP	DEPTH
KJ-1	Jhagadia	354.00
KJ-1	Kand	699.04
KJ-1	Babaguru	859.26
KJ-1	Tarapur	1060.93
KJ-1	Kalol Top	1263.64
KJ-1	K-III-Coal-1	1322.21
KJ-1	K-III-A-Upper	1325.12
KJ-1	K-III-A-Lower	1329.73
KJ-1	K-III-Coal-2	1342.09
KJ-1	K-III-B	1344.00
KJ-1	K-IV-Coal-1	1350.40
KJ-1	K-IV-Sand-1	1353.51
KJ-1	K-IV-Coal-2	1369.60
KJ-1	K-IV-Sand-2	1371.55
KJ-1	K-V-Coal	1387.00
KJ-1	K-V	1390.19
KJ-1	K-VII	1407.80
KJ-1	K-VIII-Coal	1422.88
KJ-1	K-VIII	1425.40
KJ-1	K-IX-Coal	1442.97
KJ-1	K-IX	1458.47
KJ-1	K-X-Coal	1468.55
KJ-1	K-X	1475.71
KJ-1	K-XI	1498.77
KJ-1	YCS Top	1528.74
KJ-2	Jhagadia	355.00
KJ-2	Kand	620.00
KJ-2	Babaguru	905.00
KJ-2	Tarapur	1095.00
KJ-2	Kalol Top	1262.00
KJ-2	K-III-Coal-1	1319.03
KJ-2	K-III-A-Upper	1321.00
KJ-2	K-III-A-Lower	1329.00
KJ-2	K-III-Coal-2	1334.36
KJ-2	K-III-B	1336.00
KJ-2	K-IV-Coal-1	1345.00
KJ-2	K-IV-Sand-1	1347.00
KJ-2	K-IV-Coal-2	0.00
KJ-2	K-IV-Sand-2	1373.78
KJ-2	K-V-Coal	1388.37
KJ-2	K-V	1391.41
KJ-2	K-VII	1414.25
KJ-2	K-VIII-Coal	1422.26
KJ-2	K-VIII	1423.40
KJ-2	K-IX-Coal	1445.70
KJ-2	K-IX	1460.45
KJ-2	K-X-Coal	1472.80
KJ-2	K-X	1481.30
KJ-2	K-XI	1503.51
KJ-2	YCS Top	1515.36
KJ-3	Jhagadia	355.00
KJ-3	Kand	676.41
KJ-3	Babaguru	832.84
KJ-3	Tarapur	1052.43
KJ-3	Kalol Top	1257.24
KJ-3	K-III-Coal-1	1312.00
KJ-3	K-III-A-Upper	1314.10
KJ-3	K-III-A-Lower	1322.00
KJ-3	K-III-Coal-2	1326.00
KJ-3	K-III-B	1328.00
KJ-3	K-IV-Coal-1	1333.00
KJ-3	K-IV-Sand-1	1335.00
KJ-3	K-IV-Coal-2	0.00
KJ-3	K-IV-Sand-2	1368.94
KJ-3	K-V-Coal	1382.03
KJ-3	K-V	1384.70
KJ-3	K-VII	1407.61
KJ-3	K-VIII-Coal	1414.78
KJ-3	K-VIII	1417.50
KJ-3	K-IX-Coal	1434.69
KJ-3	K-IX	1449.10
KJ-3	K-X-Coal	1472.61
KJ-3	K-X	1475.50
KJ-3	K-XI	1497.70
KJ-3	YCS Top	1506.73
KJ-4	Jhagadia	355.00
KJ-4	Kand	714.79
KJ-4	Babaguru	867.75
KJ-4	Tarapur	1088.22
KJ-4	Kalol Top	1309.24
KJ-4	K-III-Coal-1	1365.00
KJ-4	K-III-A-Upper	1366.88
KJ-4	K-III-A-Lower	1375.80
KJ-4	K-III-Coal-2	1378.32
KJ-4	K-III-B	1381.00
KJ-4	K-IV-Coal-1	1387.00
KJ-4	K-IV-Sand-1	1389.00
